name,category1,category2,category3,category4
1girl,target,person,camera subject,
solo,camera,camera subject,,
long_hair,hair,hair style,,
breasts,body,breasts,,
looking_at_viewer,face,pose,,
blush,face,expression,cheek,
smile,face,pose,expression,
short_hair,hair,hair style,,
open_mouth,face,pose,mouth pose,
bangs,hair,hair style,hair parts,
blue_eyes,face,eye pose,eye color,color
multiple_girls,camera,camera subject,,
skirt,clothing,bottoms,skirt,
blonde_hair,hair,hair color,color,
large_breasts,body,breast size,,
simple_background,background,background style,,
brown_hair,hair,hair color,color,
shirt,clothing,tops,shirt,
black_hair,hair,hair color,color,
hair_ornament,hair,hair accesary,,
red_eyes,face,eyes,eye color,color
thighhighs,clothing,wear on feets,,
gloves,clothing,wear on hands,,
long_sleeves,clothing,tops,,
1boy,camera,camera subject,,
red_hair,hair color,color,red,hair
dark_skin,skin tone,,,
twintails,hair,hair style,,
jewelry,accessory,,,
sitting,body,pose,,
very_long_hair,hair,hair style,,
closed_mouth,face,pose,,
nipples,sensitive,breasts,nipples,
sweat,person,status,,
one_eye_closed,face,pose,,
virtual_youtuber,clothing,costume,,
cum,sensitive,sensitive liquid,,
sex,sensitive,pose,action,
tongue_out,face,pose,mouth,tongue
maid,clothing,costume,,
symbol-shaped_pupils,face,eye style,eye,pupils
bar_censor,sensitive,censor,,
sideboob,clothing,style,,
pussy_juice,sensitive,sensitive liquid,,
:3,face,pose,expression,
copyright_name,text,,,
^_^,face,pose,expression,
cameltoe,sensitive,closing,wrinkles,panties
cum_in_pussy,sensitive,sensitive liquid,action,
half-closed_eyes,face,pose,eye pose,
testicles,sensitive,body parts,,
katana,props,hold in hand,,
elf,person,race,,
otoko_no_ko,person,race,,
dress_lift,clothing,pose,,
alisa_(girls_und_panzer),character,girls and panzer,,
litten,character,,,
